Group,S20_1_4,S20_1_5,S20_1_6,S20_2_4,S20_2_5,S20_2_6,S20_3_4,S20_3_5,S20_3_6,S20_4_4,S20_4_5,S20_4_6
ASV000389,0,0,0,0,0,0,0,0,0,0,0,0
ASV000390,0,0,0,0,0,0,0,0,0,0,0,0
ASV000391,0,0,0,0,0,0,0,5,0,0,0,0
ASV000392,0,0,0,0,0,0,0,0,0,0,0,0
ASV000393,0,0,0,0,0,0,0,0,0,0,0,0
ASV000394,0,0,0,1,0,0,0,0,0,0,0,0
ASV000395,1,0,0,0,0,0,0,0,0,0,0,0
ASV000396,0,0,68,0,0,0,0,0,0,0,0,0
ASV000397,0,0,0,0,0,0,0,0,0,0,0,0
ASV000398,0,0,0,0,0,0,0,0,0,0,0,0
ASV000399,0,0,0,0,0,0,0,0,0,0,0,0
ASV000400,0,0,0,0,0,0,0,0,0,0,0,0
ASV000401,0,0,0,0,0,0,0,0,0,0,0,0
ASV000402,0,0,0,0,0,0,0,0,0,0,0,0
ASV000403,0,0,0,0,0,0,0,0,0,0,0,0
ASV000404,0,0,0,0,0,0,0,1,1,0,66,0
ASV000405,0,0,69,0,0,0,0,0,0,0,0,0
ASV000406,0,0,0,0,0,0,0,0,0,0,0,0
ASV000407,0,0,0,0,0,0,0,0,0,0,0,0
ASV000408,0,0,68,0,0,0,0,0,0,0,0,0
ASV000409,0,68,0,0,0,0,0,0,0,0,0,0
ASV000410,0,0,0,0,0,0,0,0,0,0,0,0
ASV000411,0,0,0,0,0,0,0,0,0,0,0,0
ASV000412,0,0,0,0,0,0,0,0,0,0,0,0
ASV000413,0,0,0,0,0,0,0,0,0,0,0,0
ASV000414,0,0,0,0,0,0,0,0,0,0,0,0
ASV000415,0,0,0,0,0,0,0,0,0,0,0,0
ASV000416,68,0,0,0,0,0,0,0,0,0,0,0
ASV000417,0,0,0,0,0,0,0,0,0,0,0,0
ASV000418,0,0,0,0,0,0,0,0,0,0,0,0
ASV000419,0,0,0,0,0,0,0,0,0,0,0,0
ASV000420,0,0,0,0,1,0,0,0,0,0,1,0
ASV000421,0,0,0,0,0,0,0,0,0,0,0,0
ASV000422,0,0,0,0,0,0,0,0,0,0,0,0
ASV000423,0,0,0,0,0,0,0,0,0,0,0,0
ASV000424,0,0,0,67,0,0,0,0,0,0,0,0
ASV000425,0,0,0,0,0,0,0,0,0,0,0,0
ASV000426,0,0,0,0,0,0,0,0,0,0,0,0
ASV000427,0,0,0,0,0,0,0,0,0,0,0,0
ASV000428,0,0,0,0,0,0,0,0,0,0,0,0
ASV000429,0,0,0,0,0,0,0,0,0,0,0,0
ASV000430,0,0,0,0,0,0,0,0,0,0,0,0
ASV000431,0,0,0,0,0,0,0,0,0,0,0,0
ASV000432,0,0,0,0,0,0,0,0,0,0,0,0
ASV000433,0,0,65,0,0,0,0,0,0,0,0,0
ASV000434,0,0,0,0,0,0,0,0,0,0,0,0
ASV000435,0,0,0,0,0,0,0,0,0,0,0,0
ASV000436,0,0,0,0,0,0,0,0,0,0,0,0
ASV000437,0,0,0,0,0,0,0,0,0,0,0,48
ASV000438,0,0,0,0,0,56,0,0,0,0,0,0
ASV000439,0,0,0,0,0,0,0,0,0,0,0,0
ASV000440,0,0,0,0,0,0,0,0,0,0,0,0
ASV000441,0,0,0,0,0,0,0,0,0,0,0,0
ASV000442,0,0,0,0,0,0,0,0,0,0,0,0
ASV000443,0,0,0,0,0,0,0,0,0,0,0,0
ASV000444,0,0,0,0,0,0,0,0,0,0,0,0
ASV000445,0,0,0,0,0,0,0,0,0,0,0,0
ASV000446,0,0,0,0,0,0,0,0,0,0,0,0
ASV000447,0,0,0,0,0,0,0,0,0,0,0,0
ASV000448,0,0,0,0,0,0,0,0,0,0,0,0
ASV000449,0,0,0,0,0,0,0,0,0,0,0,0
ASV000450,0,0,62,0,0,0,0,0,0,0,0,0
