Group,L0_G,L1_G,L3_G,L4_G,L6_G,L8_G,L9_G,L10_G,L11_G,L12_G,L13_G,L14_G,L16_G,L17_G,L18_G,L19_G,L20_G,S16_G,S17_G,S18_G,S19_G,S20_G,L0_R,L1_R,L2_R,L3_R,L5_R,L6_R,L8_R,L9_R,L10_R,L11_R,L12_R,L13_R,L14_R,L16_R,L18_R,L19_R,L20_R,S16_R,S17_R,S18_R,S19_R,S20_R
Otu000046,0.010889687,0.761266748,2.877697842,0.931728356,0.266148756,6.586102719,3.435399552,0.395256917,1.207930325,0.112197468,0.07068901,0.007917656,0.011550012,0.008944944,0,0,0,0.008981901,0.009389671,0.090247916,0.032154341,0.014917803,0,0.04576659,0.457875458,0,0.829875519,0,0.029844807,0.093119503,0.027866797,0.020514925,0,0,0.00706115,0.364469437,0.046750818,0.138376384,0.041730421,0.029605507,0.187441425,0.098954524,0,0.012385435
Otu000047,0.119786562,0,0,0.258479479,0,0,0.175341754,0.048118233,0.045953871,0,0.340970519,0.288994458,0.15015015,0.335435395,0.151591713,0,0.040733919,0.465561893,1.003353454,1.146679408,0.830653805,0.66831757,0,0.091533181,0.091575092,0,0,0.02266289,0,0,0,0,0,0,0,0,0,0,0.027820281,0,0,0.077442671,0,0
Otu000048,0.010889687,0.045676005,0.059952038,0.211893062,0.287728384,0.120845921,0.318212813,0.690840351,1.85128452,1.218143933,1.53852551,0.958036421,0.981750982,1.672704504,0.117904666,0,0.053131199,0.06287331,0.002682763,0,0,0,0,0.091533181,0,0,0,0,0.208913649,0.134505949,0.041800195,0.082059698,0,0.216489266,0.077672645,0.833072998,0.168302945,0.184501845,0.389483934,0.02220413,0.218681662,0.008604741,0,0.004128478
Otu000049,3.746052488,0.289281364,0,0.081150534,0,0,0.06494139,1.938477402,0.039389032,0.01602821,2.14561936,1.757719715,0.438900439,0.335435395,0,0.00853898,0.00708416,0.143710423,0.293762575,0.291978553,0.179528403,0.196914998,4.005971635,0.228832952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004128478
Otu000050,0,0,1.438848921,0.004508363,0.079125306,0,0.009741209,0,0,0.801410482,0,0,0,0.026834832,0.016843524,0,0.228464154,0.08383108,0.04158283,0.010617402,0.136655949,0.002983561,0,0,1.19047619,0.033967391,1.244813278,0.045325779,0,0,0,0,0,0,0,0.04165365,0.028050491,0.009225092,0,0.02220413,0,0.301165942,0.048871512,0.012385435
Otu000051,0,0,0,0,0,0,0,0,0.087531183,0.993748998,0.968855254,0.296912114,1.801801802,0.755847757,0.697803123,2.48484331,0.706644942,0.420652385,0.469483568,0.265435048,0.243837085,0.176030074,0.024881811,0,0,0.004852484,0,0,0,0,0,0,0,0,0,0,0.018700327,0,0,0,0,0.021511853,0,0
Otu000052,0.348469999,0.411084044,0.059952038,0.384713644,0.014386419,0.120845921,0.094165016,0.5567967,0.05033043,0.01602821,0.336812341,1.801266825,0.323400323,0.304128092,0.002406218,0.315942276,0.079696798,0.008981901,0.038900067,0.148643627,0.08306538,0.184980756,0.149290868,1.693363844,0,0,0,0.441926346,3.412256267,0.662183135,0.278667967,0.276951482,0.425768234,2.038607252,1.729981641,0.197854837,0.046750818,0.341328413,0.250382529,0.148027533,0.859106529,0,0.00888573,0.264222608
Otu000053,0,0,0,0.381708068,0.841605524,0.785498489,0.769555476,0.398693934,0.610530001,1.426510659,0.191276145,0.308788599,0.462000462,0.590366295,0.880675666,0.170779609,0.688934542,0.001496984,0,0,0.002679528,0,0,0.228832952,3.205128205,0,0.580912863,0,0.348189415,0.393171236,0.348334959,0.328238794,0.074046649,0.631427025,0.282445982,0.218681662,0.252454418,0.138376384,0.097370983,0.029605507,0.015620119,0,0,0
Otu000054,0.010889687,0.258830694,2.517985612,1.604977233,0.258955546,0,0.019482417,0.037807183,0.043765591,0.01602821,0,0.221694378,0.046200046,1.077865736,0.936018672,1.110067458,0.290450553,0.103291867,0,0,0,0,0,0,0,0,0,0,0.009948269,0.807035696,0.16720078,0.420555954,0.018511662,0.036081544,0,0,0,0,0,0,0,0,0,0
Otu000055,0.021779375,0.289281364,0,0.204379123,2.129190045,0.725075529,0.074682599,0.027496133,0.223204517,0.112197468,0.004158177,0.178147268,0.034650035,0.013417416,0,0.025616941,0.046047039,0.164668194,0.050972502,0.647661517,0.321543408,0.131276666,0,0.04576659,0,0.014557453,1.493775934,0,0.029844807,1.717537506,0.16720078,0.923171607,0.388744909,0.036081544,0.15534529,0.020826825,0.065451145,0.055350554,0.180831826,2.627488713,0.48422368,0.180699565,0.088857295,0.284864999
Otu000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001341382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127100692,3.821722378,5.030388032,8.376383764,4.618166643,0.11102065,0.140581068,0.107559265,0.026657189,0
Otu000057,0,0.213154689,0.539568345,0.159295493,0,0.060422961,0.087670877,0.233717134,0.070024946,0.080141048,0.14137802,0.21773555,0.277200277,0.156536518,0.21655959,0.119545726,0.113346557,0.251493241,0.706908115,0.5521049,0.361736334,0.754840827,0,0,0,0,0,0.011331445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043023706,0,0
Otu000058,0,0.06090134,0,0,0,0,0.051953112,0.2680873,0.157556129,0.544959128,0.07068901,0.384006334,0.207900208,0.675343262,0.606366852,0.503799846,0.201898555,0.127243604,0.835680751,0.254817646,0.396570204,0.038786288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030116594,0,0
Otu000059,0,0.06090134,0,0.06461987,0,0.060422961,0.13637692,0.3093315,0.376384087,0.368648822,0.615410204,0.518606492,1.605451605,0.241513485,0.683365817,1.297925028,0.304618872,0.169159144,0.127431254,0.015926103,0.072347267,0.038786288,0,0,0,0,0,0,0.049741345,0.082772892,0.097533788,0.174376859,0.31469826,0.072163089,0.508402768,0.520670624,0.3085554,0.378228782,0.111281124,0.747539042,0.015620119,0,0.044428648,0
Otu000060,0,0,0.959232614,0.904678178,0.00719321,0.362537764,0.503295776,0.405567967,0.472668388,0.176310306,0.232857915,0.186064925,0.184800185,0.13864663,0.387401044,0.264708394,0.083238878,0,0,0,0,0,0,0,0,0,0.082987552,0,0.547154795,0.331091568,0.418001951,0.256436558,0.758978156,1.749954898,0.444852422,0.322815787,0.504908836,0.378228782,0.417304215,0.02220413,0.328022493,0,0,0.008256956
Otu000061,0.010889687,0.015225335,0,0.004508363,0,1.148036254,1.776147027,2.539955319,0.792157206,1.666933803,0.241174269,0.34837688,0.15015015,0.169953934,0.043311918,0,0.01416832,0.007484918,0.005365526,0,0,0,0.124409057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000062,0.010889687,0.106577345,0,0.046586418,0,0,0.009741209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028244598,2.051442258,0.392706872,1.005535055,0.778967868,0.31085782,2.31177757,0.696984038,1.457259641,0.520188259
