Gene,Sample,OTU,GeneCountPerGenome,OTUAbundanceInSample,CountContributedByOTU,ContributionPercentOfSample,ContributionPercentOfAllSamples
K01183,L19_B,275246,3,0.055284254,0.165852762,0.600000009,5.53E-05
K01183,L19_B,208171,3,0.036856168,0.110568504,0.399999991,3.68E-05
K01183,L1_B,275246,3,0.226963232,0.680889696,0.555555556,0.000226891
K01183,L1_B,208171,3,0.045392646,0.136177938,0.11111111,4.54E-05
K01183,L1_B,328043,3,0.045392646,0.136177938,0.11111111,4.54E-05
K01183,L1_B,585394,3,0.090785293,0.272355879,0.222222223,9.08E-05
K01183,L20_7,797229,1,5.548101436,5.548101436,0.651181102,0.001848776
K01183,L20_7,275246,3,0.898966858,2.696900574,0.316535433,0.000898679
K01183,L20_7,939811,3,0.06708708,0.20126124,0.023622048,6.71E-05
K01183,L20_7,839235,1,0.03354354,0.03354354,0.003937008,1.12E-05
K01183,L20_7,741010,3,0.013417416,0.040252248,0.00472441,1.34E-05
K01183,L20_8,922761,1,0.017471827,0.017471827,0.001267427,5.82E-06
K01183,L20_8,797229,1,8.805800646,8.805800646,0.63878327,0.002934328
K01183,L20_8,275246,3,1.502577094,4.507731282,0.326996198,0.001502097
K01183,L20_8,554415,1,0.008735913,0.008735913,0.000633714,2.91E-06
K01183,L20_8,939811,3,0.139774614,0.419323842,0.030418251,0.00013973
K01183,L20_8,4481782,3,0.008735913,0.026207739,0.001901141,8.73E-06
K01183,L20_9,797229,1,3.310665119,3.310665119,0.403232323,0.001103202
K01183,L20_9,275246,3,1.446342678,4.339028034,0.528484848,0.00144588
K01183,L20_9,939811,3,0.145961188,0.437883564,0.053333333,0.000145915
K01183,L20_9,1010927,3,0.033172998,0.099518994,0.012121212,3.32E-05
K01183,L20_9,1033018,2,0.0099519,0.0199038,0.002424243,6.63E-06
K01183,L20_9,1104592,1,0.0033173,0.0033173,0.00040404,1.11E-06
K01183,L20_B,797229,1,0.305428294,0.305428294,0.247191011,0.000101777
K01183,L20_B,275246,3,0.277662086,0.832986258,0.674157305,0.000277573
K01183,L20_B,1074016,2,0.027766208,0.055532416,0.044943819,1.85E-05
K01183,L20_B,741010,3,0.013883104,0.041649312,0.033707865,1.39E-05
K01183,L2_B,275246,3,0.182982616,0.548947848,1,0.000182924
K01183,L3_B,797229,1,0.004852484,0.004852484,1,1.62E-06
K01183,L4_7,4424725,1,0.014871658,0.014871658,0.007836991,4.96E-06
K01183,L4_7,275246,3,0.594866304,1.784598912,0.940438869,0.000594676
K01183,L4_7,939811,3,0.008922996,0.026768988,0.014106585,8.92E-06
K01183,L4_7,1010927,3,0.023794652,0.071383956,0.037617555,2.38E-05
K01183,L4_8,922761,1,0.17452007,0.17452007,0.029411765,5.82E-05
K01183,L4_8,275246,3,1.919720768,5.759162304,0.970588235,0.001919107
K01183,L4_9,922761,1,0.015723765,0.015723765,0.001906214,5.24E-06
K01183,L4_9,4424725,1,0.053460801,0.053460801,0.006481129,1.78E-05
K01183,L4_9,275246,3,2.69190855,8.07572565,0.979031643,0.002691048
K01183,L4_9,939811,3,0.015723765,0.047171295,0.005718643,1.57E-05
K01183,L4_9,208171,3,0.018868518,0.056605554,0.006862371,1.89E-05
K01183,L5_B,922761,1,0.828500414,0.828500414,0.27027027,0.000276078
K01183,L5_B,275246,3,0.331400166,0.994200498,0.324324325,0.000331294
K01183,L5_B,817734,1,0.828500414,0.828500414,0.27027027,0.000276078
K01183,L5_B,646549,1,0.414250207,0.414250207,0.135135135,0.000138039
K01183,L6_7,275246,3,0.028772838,0.086318514,0.285714283,2.88E-05
K01183,L6_7,939811,3,0.071932096,0.215796288,0.714285717,7.19E-05
K01183,L6_B,4424725,1,0.475651189,0.475651189,0.005560704,0.0001585
K01183,L6_B,275246,3,25.9569649,77.8708947,0.910366742,0.025948664
K01183,L6_B,939811,3,2.185730465,6.557191395,0.076658281,0.002185031
K01183,L6_B,208171,3,0.06795017,0.20385051,0.002383159,6.79E-05
K01183,L6_B,4481782,3,0.06795017,0.20385051,0.002383159,6.79E-05
K01183,L6_B,79309,2,0.113250283,0.226500566,0.002647954,7.55E-05
K01183,L8_9,4424725,1,0.420168067,0.420168067,0.28,0.000140011
K01183,L8_9,275246,3,0.360144058,1.080432174,0.72,0.000360029
K01183,L8_B,939811,3,0.059341312,0.178023936,1,5.93E-05
K01183,L9_7,922761,1,0.010551862,0.010551862,0.00234192,3.52E-06
K01183,L9_7,4424725,1,0.073863037,0.073863037,0.016393443,2.46E-05
