Group,L0_7,L0_8,L0_9,L0_B,L10_7,L10_8,L10_9,L10_B,L11_7,L11_8,L11_9,L11_B,L12_7,L12_9,L12_B,L13_7,L13_8,L13_9,L13_B,L14_7,L14_8,L14_9,L14_B,L16_9,L16_B,L1_7,L17_8,L17_9,L1_8,L18_9,L18_B,L1_9,L19_8,L19_B,L1_B,L20_7,L20_8,L20_9,L20_B,L2_B,L3_7,L3_B,L4_7,L4_8,L4_9,L5_B,L6_7,L6_B,L8_9,L8_B,L9_7,L9_8,L9_9,L9_B,S16_4,S16_5,S16_A,S17_4,S17_5,S17_6,S17_A,S18_4,S18_5,S18_6,S18_A,S19_4,S19_5,S19_6,S19_A,S20_1_4,S20_1_5,S20_1_6,S20_1_A,S20_2_4,S20_2_5,S20_2_6,S20_2_A,S20_3_4,S20_3_5,S20_3_6,S20_3_A,S20_4_4,S20_4_5,S20_4_6,S20_4_A,S16_6
Otu000054,1,0,0,0,3,5,3,12,1,17,2,41,1,0,1,0,0,0,2,15,35,6,0,4,0,1,219,22,2,389,0,14,130,0,0,5,44,115,0,0,42,0,700,2,366,0,36,0,0,1,1,2,3,78,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Otu000055,0,2,0,0,6,1,1,12,35,2,65,90,7,0,21,1,0,0,2,40,1,4,22,3,2,2,0,3,16,0,7,1,3,6,1,3,2,21,13,0,0,3,115,4,17,18,296,0,12,3,6,1,16,166,24,52,355,7,23,8,31,17,40,65,42,22,29,69,20,0,4,0,29,0,1,4,0,42,39,8,127,11,2,31,69,34
Otu000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,367,0,0,0,0,0,538,0,0,908,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,9,0,0,0,25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000057,0,0,0,0,38,14,16,0,2,12,18,0,5,0,0,18,7,9,0,13,24,18,0,24,0,6,6,29,7,90,0,1,14,0,0,27,12,25,0,0,9,0,35,0,71,0,0,1,1,0,8,17,2,0,13,30,0,166,92,269,0,25,57,22,10,31,36,68,0,105,32,12,0,10,66,46,0,67,19,20,0,68,119,66,0,125
Otu000058,0,0,0,0,58,2,18,0,3,35,34,0,34,0,0,1,4,12,0,12,52,33,0,18,0,0,85,66,4,252,0,0,59,0,0,61,27,26,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5,0,25,7,0,0,78,545,0,7,27,14,7,93,16,39,0,126,91,29,0,2,7,25,0,2,11,6,0,3,0,10,0,53
Otu000059,0,0,0,0,63,13,14,7,11,50,111,17,18,5,17,31,85,32,4,82,36,13,72,139,50,2,18,36,1,284,33,1,152,41,0,73,41,58,8,0,0,0,19,0,24,0,0,0,1,5,12,19,11,8,11,17,101,15,36,44,1,1,2,0,0,1,8,18,10,7,3,11,0,0,6,0,0,5,1,1,1,1,6,6,0,85
Otu000060,0,0,0,0,54,50,14,30,57,76,83,25,3,8,41,7,46,3,97,15,14,18,63,16,31,0,13,18,0,161,54,0,31,41,0,14,11,22,30,0,16,0,162,7,433,1,1,0,6,55,60,64,31,32,0,0,3,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Otu000061,0,0,1,5,422,156,161,0,67,70,225,0,54,50,0,22,27,9,0,43,19,26,0,13,0,1,24,14,0,18,0,0,0,0,0,4,1,3,0,0,0,0,0,1,2,0,0,0,19,0,198,117,232,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000062,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,197,1,0,0,6,0,42,0,0,109,0,0,0,0,56,0,0,0,21,2,8,0,0,0,0,0,0,1,2,0,0,0,42,0,0,0,148,0,0,0,162,0,0,0,328,0,0,0,46,0,0,0,44,0,0,0,600,0,0,0,126,0
Otu000063,0,1,2,2,0,0,0,13,0,0,1,21,0,0,8,0,0,0,5,0,0,0,44,0,5,3,0,0,2,0,9,0,0,10,0,0,0,0,1,0,0,0,48,1,13,3,106,0,0,3,0,0,0,5,0,0,94,0,0,0,102,0,0,0,307,0,0,0,192,0,0,0,23,0,0,0,71,0,0,0,167,0,0,0,586,0
