Group,Control,Control,Control
ASV000846,0.083412774,0.035321648,0
ASV000847,0,0.023933149,0
ASV000848,0,0.05209943,0
ASV000849,0,0,0
ASV000850,0,0,0
ASV000851,0,0,0
ASV000852,0,0,0
ASV000853,0,0,0
ASV000854,0,0,0
ASV000855,0,0,1.163544827
ASV000856,0.049540632,0.018983163,0
ASV000857,0,0.066115702,0
ASV000858,0,0.051216389,0
ASV000859,0,0.051216389,0
ASV000860,0,0.051216389,0
ASV000861,0,0.051216389,0
ASV000862,0,0.026491236,0
ASV000863,0,0,0
ASV000864,0,0,0
ASV000865,0,0,0
ASV000866,0,0,0
ASV000867,0,0,0
ASV000868,0,0,0
ASV000869,0,0,0
ASV000870,0,0,0
ASV000871,0,0,0
ASV000872,0,0,0
ASV000873,0.035219396,0.029042734,0
ASV000874,0.158002844,0.008830412,0
ASV000875,0.06528981,0.017549293,0
ASV000876,0.022845953,0.012415406,0
ASV000877,0.048803162,0,0
ASV000878,0,0.02271621,0.044642857
ASV000879,0,0.048487387,0
ASV000880,0,0.043509795,0
ASV000881,0,0.050333348,0
ASV000882,0,0.050333348,0
ASV000883,0,0.050333348,0
ASV000884,0,0.050333348,0
ASV000885,0,0.050333348,0
ASV000886,0,0,0
ASV000887,0,0,0
ASV000888,0,0,0
ASV000889,0,0,0
ASV000890,0.153143244,0.025565874,0
ASV000891,0.047400853,0.012362577,0
ASV000892,0.120452277,0.050917861,0
ASV000893,0.009791123,0.041267745,0
ASV000894,0,0.036315616,0
ASV000895,0,0.049450307,0
ASV000896,0,0.045918142,0
ASV000897,0,0.04415206,0
ASV000898,0,0.066812603,0
ASV000899,0.585854282,0,0
ASV000900,0.027650498,0.00330142,0
ASV000901,0.003950071,0,0
ASV000902,0.140339426,0,0
ASV000903,0.029373368,0.109875385,0.160875161
ASV000904,0.029790276,0.040713075,0
ASV000905,0.005958055,0.053597749,0
ASV000906,0,0.04539452,0
ASV000907,0,0.048567266,0
ASV000908,0,0.064317299,0.003297718
ASV000909,0,0.016079325,0
ASV000910,0,0,0
