Group,Class,Long,Short,Daily
ASV0357,Gammaproteobacteria,0.019430085,0.000637775,0.000797219
ASV0358,Bacteroidia,0,0,0
ASV0360,Actinobacteria,0,0,0
ASV0361,Cloacimonadia,0,0.001083327,0.013590473
ASV0362,Cloacimonadia,0.094442241,0,0
ASV0364,Bacteroidia,0.002230837,0.023467552,0.040071229
ASV0367,Campylobacteria,0.000179313,0.002886266,0.006243495
ASV0371,Alphaproteobacteria,0.027720929,0.007471309,0.004096994
ASV0372,Gammaproteobacteria,0.000529619,0.001979761,0.001864565
ASV0374,Bacteroidia,0.000270973,0.000791502,0.001652672
ASV0378,Gammaproteobacteria,8.96568E-05,0.0038233,0.001187179
ASV0381,Deltaproteobacteria,0.045027742,0,0
ASV0382,Bacteroidia,0.00026897,0.00138754,0.002477247
ASV0386,Bacteroidia,0,0.00187802,0.002911462
ASV0388,Deltaproteobacteria,0.045090559,0.003230036,0
ASV0390,Gammaproteobacteria,8.96568E-05,0.002083242,0.005328416
ASV0391,Gammaproteobacteria,0,0,0
ASV0393,Gammaproteobacteria,0.000230764,0.002869926,0.004865864
ASV0394,Cloacimonadia,0.015615016,0,0
ASV0397,Clostridia,0,0.001109699,0.001595921
ASV0398,Clostridia,0.035412817,0,0
ASV0399,Campylobacteria,0,0,0
ASV0400,Alphaproteobacteria,0.033661593,0.00583573,0.001594439
ASV0401,Bacteroidia,0,0,0
ASV0403,Alphaproteobacteria,0.025493449,0.006316799,0.014521944
ASV0404,Bacteroidia,0,0.003239312,0.004325213
ASV0405,Bacilli,0.000181316,0,0
ASV0406,Deltaproteobacteria,0.049172388,0,0
ASV0407,Clostridia,0,0,0.006666649
ASV0408,Deltaproteobacteria,0.068153799,0,0
ASV0409,Bacilli,0,0.000646684,0
ASV0410,Gammaproteobacteria,0.00068439,0.00457005,0.008222589
ASV0411,Gammaproteobacteria,0,0.001546059,0.000810977
ASV0412,Spirochaetia,0.03233501,0,0
ASV0414,Alphaproteobacteria,0.000244434,0,0
ASV0416,Deltaproteobacteria,0.038747187,0,0
ASV0417,Bacilli,0,0.001732108,0
ASV0419,Gammaproteobacteria,0.001153818,0,0
ASV0420,Negativicutes,0.00026897,0.003256608,0.003534999
ASV0422,Bacteroidia,0,0,0.008778008
ASV0423,Gammaproteobacteria,0.002149433,0.009501189,0.008705748
ASV0424,Cloacimonadia,0.000996572,0,0
ASV0425,Alphaproteobacteria,0.015470265,0.0001583,0
ASV0428,Bacilli,0.008307855,0.002366945,0.000270326
ASV0429,Bacteroidia,0,0,0.00110346
ASV0432,Gammaproteobacteria,0.008996964,0,0
ASV0433,Bacteroidia,0,0.000402285,0.00073564
ASV0434,Bacteroidia,0.00041987,0,0.005822925
ASV0436,Alphaproteobacteria,0.026107236,0.001853539,0.000761105
ASV0439,Deltaproteobacteria,0.039301523,0.000422878,0
ASV0441,Bacteroidia,8.96568E-05,0.001599678,0.008226113
ASV0442,Bacteroidia,0.02919616,0,0
ASV0443,Deltaproteobacteria,0.008767274,0,0
ASV0444,Gammaproteobacteria,8.96568E-05,0.001173628,0.004688397
ASV0445,Bacilli,0,0,0
ASV0447,Alphaproteobacteria,0.001953405,0.05730339,0.055883609
ASV0448,Bacilli,0,0.001754386,0.002506266
ASV0449,Clostridia,0,0.001339706,0.007683248
ASV0450,Bacteroidia,0,0.003164056,0.005842362
ASV0451,Clostridia,0.038271604,0,0
ASV0453,Clostridia,8.96568E-05,0.001097311,0.003502684
ASV0457,Gammaproteobacteria,0,0.002803766,0.000998191
ASV0458,Alphaproteobacteria,0.002710489,0.000791502,0
ASV0460,Clostridia,0,0.004539236,0.004164749
ASV0463,Gammaproteobacteria,8.96568E-05,0.000825406,0.005776926
ASV0467,Clostridia,0,0.004149158,0.002083481
ASV0469,Deltaproteobacteria,0.006540374,0.029148535,0.006958297
ASV0470,Deltaproteobacteria,0.00817502,0.001293368,0
ASV0471,Gammaproteobacteria,0,0,0.000998191
ASV0472,Bacteroidia,0,0,0
ASV0474,Actinobacteria,0,0,0.00036782
ASV0475,Gammaproteobacteria,0,0,0.001455731
ASV0476,Verrucomicrobiae,0.000179313,0,0.002644683
ASV0478,Gammaproteobacteria,0.032224762,0.016968563,0.015039912
ASV0479,Alphaproteobacteria,0,0.025799773,0.0316351
ASV0480,Bacilli,0,0.001268633,0
ASV0481,Bacteroidia,0,0.000949803,0.005915015
ASV0482,Clostridia,0.000179313,0.003251319,0.004746676
ASV0483,Bacilli,0,0,0
ASV0485,Gammaproteobacteria,0,0,0
ASV0486,Gammaproteobacteria,0,0.00080457,0.005095059
ASV0487,Bacteroidia,0.000179313,0.000422878,0.002638174
ASV0488,Gammaproteobacteria,0.000179313,0,0.002942561
ASV0490,Gammaproteobacteria,8.96568E-05,0.000925027,0.000270326
ASV0491,Gammaproteobacteria,0,0,0.000923361
ASV0492,Gammaproteobacteria,0.001012711,0.00187802,0.001355616
ASV0493,Verrucomicrobiae,8.96568E-05,0.000646684,0
ASV0494,Gammaproteobacteria,0.017469137,0.001972682,0.001726347
ASV0495,Gammaproteobacteria,0,0,0.000761105
ASV0497,Deltaproteobacteria,0.105553644,0.001434926,0.00072044
ASV0499,Bacteroidia,0,0.000422878,0
ASV0500,Bacilli,8.96568E-05,0.001424704,0.001538843
ASV0503,Cloacimonadia,0.089189666,0,0
